modelName;#Genes;#Metabolites;#Reactions
yli647_corr;646;1121;1348
iYali4_corr;901;1683;1987
iYali4(uco);901;1683;1985
iYli_2.0_corr;645;1087;1479
iMK735_corr;735;1115;1342
iMK735(uco);735;1239;1464
iNL895_corr;899;1590;2008
iNL895(uco);899;1847;2262
iYli21;1058;1868;2285
iMT1026v3;1026;1706;2237
iLC915;915;1303;1423
iAF1260;1261;1668;2382
iMM904;905;1226;1577
