glucose_uptake;experimental_growth;iYli21_model;iYali4_model;iMK735_model;iNL895_model;iYli_2_0_model;iYLI647_model
2.43;0.26;0.2827037239904442;0.28191610195744593;0.20887786717087617;0.42610336523450126;0.3556326033238326;0.2245672032158455
0.64;0.048;0.035480781742887296;0.03532981123988556;0.018851445127340355;0.11222475462966304;0.09366455396183244;0.020284038541627233
0.95;0.08;0.0783681555852175;0.07803469957644654;0.05177509577227278;0.16658362015340586;0.13903332228709506;0.055709683318553575
0.33;0.03;0.0;0.0;0.0;0.05786588910592006;0.0482957856365699;0.0
0.72;0.07;0.04654849112155379;0.04635044097913266;0.027347871100226157;0.1262528489583709;0.10537262320706176;0.02942614041954376
0.98;0.1;0.08251854660221698;0.08216743070579158;0.05496125551210495;0.17184415552667148;0.14342384825405613;0.05913797152277207
2.09;0.2;0.23582014399952206;0.2350784824915435;0.17283162506311658;0.36648396433749325;0.30587330903160936;0.1858134382228375
