W29_three_glucose_uptake;experimental_growth;iYli21_model;iYali4_model;iMK735_model;iNL895_model;iYli_2_0_model;iYLI647_model
2.43;0.26;0.2827037239904442;0.28191610195744593;0.20887786717087617;0.42610336523450126;0.3556326033238326;0.2245672032158455
0.64;0.048;0.035480781742887296;0.03532981123988556;0.018851445127340355;0.11222475462966304;0.09366455396183244;0.020284038541627233
0.61;0.047;0.031330390725887815;0.031197080110540856;0.015665285387508165;0.10696421925639744;0.0892740279948716;0.016855750337408458
