fructose_uptake;experimental_growth;iYli21_model;iYali4_model;iMK735_model;iNL895_model;iYli_2_0_model;iYLI647_model
2.43;0.26;0.2827037239904445;0.2819161019574512;0.19377786221616577;0.42610336523450126;0.36054034760540693;0.2245672032158455
0.64;0.048;0.03548078174288782;0.035329811239885336;0.014853127022452894;0.11222475462966304;0.09495712858743216;0.020284038541627233
0.95;0.08;0.07836815558521863;0.07803469957644718;0.04584009233533052;0.16658362015340586;0.14095198774696963;0.055709683318553575
0.33;0.03;0.0;0.0;0.0;0.05786588910592006;0.04896226942789474;0.0
0.72;0.07;0.046548491121553584;0.04635042758480446;0.022849763232227805;0.1262528489583709;0.10682676966086097;0.02942614041954376
0.98;0.1;0.08251854660221715;0.08216743070579158;0.04883883091399616;0.17184415552667148;0.1454031031495055;0.05913797152277207
2.09;0.2;0.23582014399951842;0.2350784824915435;0.15979215832462276;0.36648396433749325;0.3100943730433332;0.1858134382228375
