all_031_maintenance_789_uptake;experimental_growth;iYli21_model;iYali4(cor)_model;iMK735(cor)_model;iNL895(cor)_model;iYli_2_0(cor)_model;iYLI647(cor)_model
2.43;0.26;0.282703723990443;0.2819161019574491;0.20887786716946172;0.42610336523467546;0.3556326033237927;0.22456720321584392
0.64;0.048;0.035480781742879705;0.03532981123988569;0.018851445127340254;0.11222475462966305;0.09366455396183195;0.020284038541628288
0.95;0.08;0.07836815558521817;0.0780346995764467;0.05177509577227248;0.166583620153406;0.1390333222870945;0.055709683318554554
0.33;0.03;0.0;0.0;0.0;0.05786588910591998;0.048295785636569714;0.0
0.72;0.07;0.04654849372450569;0.04635042758480499;0.027347871100269712;0.12625284895837086;0.10537262320706234;0.029426140419545287
0.98;0.1;0.08251854660221777;0.0821674307057913;0.05496125551210491;0.1718441555266714;0.14342384825405596;0.05913797152277094
2.09;0.2;0.23582014399952111;0.23507848249154317;0.17283162506311708;0.3664839643374932;0.30587330903161025;0.1858134382228351
