exchange_metabolite_name;exchange_metabolite_id;unnormalized_name
(1_3)_beta_d_glucan;m510[C_ex];(1-3)-beta-D-glucan exchange
(r)_carnitine;m1069[C_ex];(R)-carnitine exchange
(r)_lactate;m1043[C_ex];(R)-lactate exchange
(r)_mevalonate;m1018[C_ex];(R)-mevalonate exchange
(r)_pantothenate;m1098[C_ex];(R)-pantothenate exchange
(r-r)_2-3_butanediol;m1020[C_ex];(R,R)-2,3-butanediol exchange
(s)_lactate;m1079[C_ex];(S)-lactate exchange
(s)_malate;m1130[C_ex];(S)-malate exchange
1_(sn_glycero_3_phospho)_1d_myo_inositol;m1053[C_ex];1-(sn-glycero-3-phospho)-1D-myo-inositol exchange
1_acylglycerophosphocholine;m1133[C_ex];1-acylglycerophosphocholine exchange
2_deoxyadenosine;m1135[C_ex];2'-deoxyadenosine exchange
2_deoxyguanosine;m1137[C_ex];2'-deoxyguanosine exchange
2_deoxyinosine;m1139[C_ex];2'-deoxyinosine exchange
2_deoxyuridine;m1141[C_ex];2'-deoxyuridine exchange
2_isopropylmalate;m1143[C_ex];2-isopropylmalate exchange
2_oxoglutarate;m1145[C_ex];2-oxoglutarate exchange
4_aminobenzoate;m1148[C_ex];4-aminobenzoate exchange
5_aminolevulinate;m1022[C_ex];5-aminolevulinate exchange
5_formyltetrahydrofolic_acid;m1023[C_ex];5-formyltetrahydrofolic acid exchange
7-8_diaminononanoate;m1152[C_ex];7,8-diaminononanoate exchange
8_amino_7_oxononanoate;m1024[C_ex];8-amino-7-oxononanoate exchange
9h_xanthine;m1155[C_ex];9H-xanthine exchange
acetaldehyde;m1157[C_ex];acetaldehyde exchange
acetate;m1025[C_ex];acetate exchange
adenine;m1026[C_ex];adenine exchange
adenosine_3-5_bismonophosphate;m1161[C_ex];adenosine 3',5'-bismonophosphate exchange
adenosine;m1027[C_ex];adenosine exchange
allantoate;m1029[C_ex];allantoate exchange
allantoin;m1030[C_ex];allantoin exchange
alpha-alpha_trehalose;m1167[C_ex];alpha,alpha-trehalose exchange
alpha_d_glucosamine_6_phosphate;m1169[C_ex];alpha-D-glucosamine 6-phosphate exchange
ammonium;m1031[C_ex];ammonium exchange
bicarbonate;m1172[C_ex];bicarbonate exchange
biotin;m1032[C_ex];biotin exchange
carbon_dioxide;m1176[C_ex];carbon dioxide exchange
choline;m1037[C_ex];choline exchange
citrate(3_);m1187[C_ex];citrate(3-) exchange
cytidine;m1040[C_ex];cytidine exchange
cytosine;m1041[C_ex];cytosine exchange
d_arabinose;m1193[C_ex];D-arabinose exchange
d_fructose;m963[C_ex];D-fructose exchange
d_galactose;m1042[C_ex];D-galactose exchange
d_galacturonate;m1197[C_ex];D-galacturonate exchange
d_glucitol;m1199[C_ex];D-glucitol exchange
d_glucose;m511[C_ex];D-glucose exchange
d_mannose;m1044[C_ex];D-mannose exchange
d_ribose;m1203[C_ex];D-ribose exchange
d_xylose;m1205[C_ex];D-xylose exchange
decanoate;m1207[C_ex];decanoate exchange
deoxycytidine;m1209[C_ex];deoxycytidine exchange
dttp;m1211[C_ex];dTTP exchange
episterol;m1045[C_ex];episterol exchange
ergosterol;m1046[C_ex];ergosterol exchange
ethanol;m1217[C_ex];ethanol exchange
ethanolamine;m1047[C_ex];ethanolamine exchange
fecosterol;m1049[C_ex];fecosterol exchange
fmn;m213[C_ex];FMN exchange
folic_acid;m1050[C_ex];folic acid exchange
formate;m1231[C_ex];formate exchange
fumarate(2_);m1233[C_ex];fumarate(2-) exchange
gamma_aminobutyrate;m1021[C_ex];gamma-aminobutyrate exchange
glutathione_disulfide;m1237[C_ex];glutathione disulfide exchange
glutathione;m1052[C_ex];glutathione exchange
glycerol;m1056[C_ex];glycerol exchange
glycine;m1057[C_ex];glycine exchange
glycolaldehyde;m1242[C_ex];glycolaldehyde exchange
glyoxylate;m1244[C_ex];glyoxylate exchange
guanine;m1059[C_ex];guanine exchange
guanosine;m1247[C_ex];guanosine exchange
h+;m342[C_ex];H+ exchange
hexadecanal;m1252[C_ex];hexadecanal exchange
hypoxanthine;m1257[C_ex];hypoxanthine exchange
inosine;m1261[C_ex];inosine exchange
iron(2+);m1273[C_ex];iron(2+) exchange
isoamyl_acetate;m1062[C_ex];isoamyl acetate exchange
isoamylol;m1277[C_ex];isoamylol exchange
l_alanine;m1063[C_ex];L-alanine exchange
l_arabinitol;m1281[C_ex];L-arabinitol exchange
l_arabinose;m1283[C_ex];L-arabinose exchange
l_arginine;m1064[C_ex];L-arginine exchange
l_asparagine;m1065[C_ex];L-asparagine exchange
l_aspartate;m1068[C_ex];L-aspartate exchange
l_cysteine;m1070[C_ex];L-cysteine exchange
l_glucitol;m1289[C_ex];L-glucitol exchange
l_glutamate;m1072[C_ex];L-glutamate exchange
l_glutamine;m1074[C_ex];L-glutamine exchange
l_histidine;m1075[C_ex];L-histidine exchange
l_homoserine;m1294[C_ex];L-homoserine transport
l_isoleucine;m1077[C_ex];L-isoleucine exchange
l_leucine;m1081[C_ex];L-leucine exchange
l_lysine;m1082[C_ex];L-lysine exchange
l_methionine;m1083[C_ex];L-methionine exchange
l_phenylalanine;m1084[C_ex];L-phenylalanine exchange
l_proline;m1085[C_ex];L-proline exchange
l_serine;m1086[C_ex];L-serine exchange
l_sorbose;m1303[C_ex];L-sorbose exchange
l_threonine;m1087[C_ex];L-threonine exchange
l_tryptophan;m1088[C_ex];L-tryptophan exchange
l_tyrosine;m1090[C_ex];L-tyrosine exchange
l_valine;m1091[C_ex];L-valine exchange
lanosterol;m1092[C_ex];lanosterol exchange
laurate;m1310[C_ex];laurate exchange
maltose;m1322[C_ex];maltose exchange
myo_inositol;m1060[C_ex];myo-inositol exchange
nicotinate;m1095[C_ex];nicotinate exchange
nmn;m1337[C_ex];NMN exchange
octanoate;m1341[C_ex];octanoate exchange
ornithine;m1097[C_ex];ornithine exchange
oxaloacetate(2_);m1344[C_ex];oxaloacetate(2-) exchange
oxygen;m1339[C_ex];oxygen exchange
palmitate;m1254[C_ex];palmitate exchange
palmitoleate;m1255[C_ex];palmitoleate exchange
pectin;m1351[C_ex];pectin exchange
phosphate;m215[C_ex];phosphate exchange
potassium;m1099[C_ex];potassium exchange
putrescine;m1101[C_ex];putrescine exchange
pyridoxine;m1357[C_ex];pyridoxine exchange
pyruvate;m1103[C_ex];pyruvate exchange
riboflavin;m216[C_ex];riboflavin exchange
s_adenosyl_l_methionine;m1104[C_ex];S-adenosyl-L-methionine exchange
s_methyl_l_methionine;m1105[C_ex];S-methyl-L-methionine exchange
sn_glycero_3_phosphocholine;m1055[C_ex];sn-glycero-3-phosphocholine exchange
sodium;m1108[C_ex];sodium exchange
spermidine;m1109[C_ex];spermidine exchange
spermine;m1111[C_ex];spermine exchange
stearate;m1340[C_ex];stearate exchange
succinate;m1368[C_ex];succinate exchange
sucrose;m962[C_ex];sucrose exchange
sulphate;m1113[C_ex];sulphate exchange
sulphite;m1114[C_ex];sulphite exchange
taurine;m1115[C_ex];taurine exchange
thiamine(1+)_diphosphate(1_);m971[C_ex];thiamine(1+) diphosphate(1-) exchange
thiamine(1+);m972[C_ex];thiamine(1+) exchange
thiamine(1+)_monophosphate;m973[C_ex];thiamine(1+) monophosphate exchange
thymidine;m1378[C_ex];thymidine exchange
uracil;m1117[C_ex];uracil exchange
urea;m1118[C_ex];urea exchange
uridine;m1119[C_ex];uridine exchange
water;m214[C_ex];water exchange
xanthosine;m1386[C_ex];xanthosine exchange
xylitol;m1388[C_ex];xylitol exchange
zymosterol;m1390[C_ex];zymosterol exchange
14_demethyllanosterol;m1405[C_ex];14-demethyllanosterol exchange
ergosta_5-7-22-24(28)_tetraen_3beta_ol;m1407[C_ex];ergosta-5,7,22,24(28)-tetraen-3beta-ol exchange
butyrate;m1459[C_ex];butyrate exchange
hexanoate;m1461[C_ex];hexanoate exchange
oleate;m1463[C_ex];oleate exchange
myristate;m1227[C_ex];myristate exchange
raffinose;m1636[C_ex];raffinose exchange
melibiose;m1637[C_ex];melibiose exchange
isocitrate;m1803[C_ex];EXC_OUT_m1803
erythritol;m1826[C_ex];EXC_OUT_m1826
d_mannitol;m1824[C_ex];EXC_OUT_m1824
d_arabitol;m1836[C_ex];D-Arabitol exchange
2_deoxy_d_ribose;m1837[C_ex];2-Deoxy-D-Ribose exchange
palatinose;m1838[C_ex];Palatinose exchange
salicin;m1841[C_ex];Salicin exchange
5_aminopentanoate;m1844[C_ex];5-aminopentanoate exchange
d_glucosamine;m1847[C_ex];D-glucosamine exchange
(r)_3_hydroxybutanoate;m1849[C_ex];(R)-3-Hydroxybutanoate exchange
5_dehydro_d_gluconate;m1851[C_ex];5-dehydro-D-gluconate exchange
malonate;m1853[C_ex];malonate exchange
3_oxalomalate(3_);m1856[C_ex];3-oxalomalate(3-) exchange
dihydroxy_acetone;m1880[C_ex];Dihydroxy-Acetone exchange
n_acetyl_d_glucosamine;m1882[C_ex];N-Acetyl-D-Glucosamine exchange
d_gluconate;m1858[C_ex];D-gluconate exchange
2_oxobutanoate;m1868[C_ex];2-oxobutanoate exchange
gly_asp;m1869[C_ex];Gly-Asp exchange
propanoate;m1873[C_ex];Propanoate exchange
gly_glu;m1860[C_ex];Gly-Glu exchange
ala_gly;m1876[C_ex];Ala-Gly exchange
gly_pro;m1864[C_ex];Gly-Pro exchange
magnesium;m1892[C_ex];Magnesium exchange
indole_3_acetonitrile;m1895[C_ex];Indole_3_acetonitrile exchange
alpha_aminopropiononitrile;m1897[C_ex];alpha_Aminopropiononitrile exchange
gamma_amino_gamma_cyanobutanoate;m1899[C_ex];gamma_Amino_gamma_cyanobutanoate exchange
pyridoxal;mpyridoxal[C_ex];pyridoxal exchange
hexadecane;m1787[C_ex];hexadecane exchange
triolein;mtriolein[C_ex];triolein exchange
tributyrin;m1807[C_ex];tributyrin exchange
d_limonene;m2055[C_ex];D-Limonene exchange
3_dehydroshikimate;m2056[C_ex];3-dehydroshikimate exchange
