exchange_metabolite_name;exchange_metabolite_id;unnormalized_name
potassium;k_e;potassium exchange
l_leucine;leu_L_e;L-Leucine exchange
l_lactate;lac_L_e;L-Lactate exchange
l_lysine;lys_L_e;L-Lysine exchange
maltose;malt_e;Maltose exchange
d_mannose;man_e;D-Mannose exchange
melibiose;melib_e;Melibiose exchange
l_methionine;met_L_e;L-Methionine exchange
s_methyl_l_methionine;mmet_e;S-Methyl-L-methionine exchange
nicotinate;nac_e;Nicotinate exchange
nadp;nadp_e;NADP exchange
sodium;na1_e;Sodium exchange
n-n_bisformyl_dityrosine;Nbfortyr_e;N,N-bisformyl-dityrosine exchange
nicotinamide_d_ribonucleotide;nmn_e;Nicotinamide D-ribonucleotide exchange
oxaloacetate;oaa_e;Oxaloacetate exchange
octadecanoate;ocdca_e;octadecanoate exchange
octadecadienoate;ocdcya_e;octadecadienoate exchange
ornithine;orn_e;Ornithine exchange
phenylacetaldehyde;pacald_e;Phenylacetaldehyde exchange
adenosine_3-5_bisphosphate;pap_e;Adenosine 3',5'-bisphosphate exchange
phenethyl_acetate;pheac_e;Phenethyl acetate exchange
d_phenylalanine;D_Phenylalanine_e;D-Phenylalanine exchange
l_phenylalanine;phe_L_e;L-Phenylalanine exchange
(r)_pantothenate;pnto_R_e;(R)-Pantothenate exchange
l_proline;pro_L_e;L-Proline exchange
putrescine;ptrc_e;Putrescine exchange
l_sorbitol;sbt_L_e;L-Sorbitol exchange
l_serine;ser_L_e;L-Serine exchange
sulfite;so3_e;Sulfite exchange
spermidine;spmd_e;Spermidine exchange
spermine;sprm_e;Spermine exchange
l_sorbose;srb_L_e;L-Sorbose exchange
succinate;succ_e;Succinate exchange
sucrose;sucr_e;Sucrose exchange
taurine;taur_e;Taurine exchange
thymidine;thymd_e;Thymidine exchange
l_threonine;thr_L_e;L-Threonine exchange
thymine;thym_e;Thymine exchange
l_tryptophan;trp_L_e;L-Tryptophan exchange
tetradecanoate;ttdca_e;tetradecanoate exchange
l_tyrosine;tyr_L_e;L-Tyrosine exchange
uracil;ura_e;Uracil exchange
urea;urea_e;Urea exchange
uridine;uri_e;Uridine exchange
l_valine;val_L_e;L-Valine exchange
xanthine;xan_e;Xanthine exchange
xanthosine;xtsn_e;Xanthosine exchange
d_xylose;xyl_D_e;D-Xylose exchange
xylitol;xylt_e;Xylitol exchange
pectin;pectin_e;Pectin exchange
d_galacturonate;galur_e;D-Galacturonate exchange
d_arabitol;abt_D_e;D-Arabitol exchange
fab;fab_e;fab exchange
rol;rol_e;rol exchange
l_rhamnose;rmn_e;L-rhamnose exchange
